brand,day_start,day_end,multiplier
Hermitage Homes,30,59,1.003
Hermitage Homes,60,89,1.006
Hermitage Homes,90,119,1.009
Hermitage Homes,120,149,1.012
Hermitage Homes,150,179,1.015
Hermitage Homes,180,209,1.018
Hermitage Homes,210,239,1.021
Hermitage Homes,240,269,1.024
Hermitage Homes,270,299,1.027
Hermitage Homes,300,329,1.03
Hermitage Homes,330,359,1.033
Hermitage Homes,360,389,1.036
Hermitage Homes,390,419,1.039
Hermitage Homes,420,449,1.042
Hermitage Homes,450,479,1.045
Hermitage Homes,480,509,1.048
Hermitage Homes,510,539,1.051
Hermitage Homes,540,569,1.054
Hermitage Homes,570,599,1.057
Hermitage Homes,600,629,1.06
Hermitage Homes,630,659,1.063
Hermitage Homes,660,689,1.066
Hermitage Homes,690,719,1.069
Hermitage Homes,720,749,1.072
Hermitage Homes,750,779,1.075
Hermitage Homes,780,809,1.078
Hermitage Homes,810,839,1.081
Hermitage Homes,840,869,1.084
Hermitage Homes,870,899,1.087
Hermitage Homes,900,929,1.09
Hermitage Homes,930,959,1.093
Hermitage Homes,960,989,1.096
Hermitage Homes,990,1019,1.099
Hermitage Homes,1020,1049,1.102
Hermitage Homes,1050,1079,1.105
Hermitage Homes,1080,1109,1.108
