postcode,rock_removal_cost
3023,9750
3024,1500
3027,1500
3029,1500
3030,1500
3037,9750
3038,9750
3041,9750
3059,9750
3064,9750
3075,9750
3076,9750
3089,0
3116,0
3134,0
3152,2000
3212,0
3216,0
3217,0
3170,0
3220,1500
3221,0
3222,0
3223,0
3224,0
3225,0
3226,0
3228,0
3331,1500
3335,3750
3336,3750
3337,3750
3338,3750
3340,1500
3427,3750
3429,9750
3431,1500
3434,1500
3437,1500
3438,1500
3620,2000
3750,9750
3752,2000
3753,1500
3754,3750
3756,0
3764,1500
3806,2000
3809,2000
3810,2000
3818,2000
3822,0
3977,4000
3978,2000
3435,0
3140,0
3350,2000
